"desig","details","org","loc","keyskills","date","expLow","expHigh","salLow","job"
"HR Operation Profile/ Product Based Company / Contractual Role / Noida","HR Operation Profile/ Product Based Company / Contractual Role / Noida","JConnect Infotech Private Limited","Delhi- Noida","Recruitment- HR Policies- Talent Acquisition- Payroll- Excel- Onboarding...","2018-04-05",3.0,5.0,0.0,"HR"
"WNS Punehiring-international Process Travel/insurance(voice)-hr Chanda","WNS Punehiring-international Process Travel/insurance(voice)-hr Chanda","WNS GLOBAL SERVICES PRIVATE LIMITED","Pune","voice- bpo- fresher- 12+- inbound- calls- blended- international","2018-04-05",0.0,5.0,200000.0,"HR"
"HR Executive / Assistant Manager","HR Executive / Assistant Manager","Sterling Indo Tech Consultants Pvt. Ltd.","Jaipur","Recruitment- Hiring- HR- Interviewing- Administration- Record Keeping","2018-04-05",3.0,5.0,0.0,"HR"
"Walkin Interviews for Domestic/ International Process - HR Ashiya","Walkin Interviews for Domestic/ International Process - HR Ashiya","Sutherland Global Services Private Limited","Thane","Domestic Voice Process- Inbound Calls- International Process...","2018-04-05",0.0,1.0,100000.0,"HR"
"Job Opening // HR Executive - Recruitment // Bangalore","Job Opening // HR Executive - Recruitment // Bangalore","Chesa Inc","Bengaluru(Whitefield)","Recruitment- Sourcing- HR Generalist Activities- Human Resource Management","2018-04-05",1.0,3.0,100000.0,"HR"
"Job Opening in Dmart | Assistant Manager Hr(male) - Hyderabad","Job Opening in Dmart | Assistant Manager Hr(male) - Hyderabad","Avenue Supermarts Limited","Hyderabad","hr policies- employee engagement- statutory compliance- statutory laws...","2018-04-05",5.0,10.0,300000.0,"HR"
"Urgent Opening for HR Generalist @ Hyderabad (only Female Candidates)","Urgent Opening for HR Generalist @ Hyderabad (only Female Candidates)","Avenue Supermarts Limited","Hyderabad","HR Generalist Activities- Recruitment- Employee Engagement...","2018-04-05",2.0,6.0,0.0,"HR"
"HR Trainee","HR Trainee","L.G. BALAKRISHNAN  BROS LTD.","Coimbatore- Jalna","Recruitment- Payroll- HR- HR Trainee- human resource trainee- hrd trainee...","2018-04-05",0.0,1.0,0.0,"HR"
"HR Intern","HR Intern","Marks and Spencer Reliance India Pvt. Ltd.","Mumbai- Bengaluru","HR- Recruitment- Compensation Benchmarking- Interviewing- Sourcing","2018-04-05",0.0,2.0,0.0,"HR"
"Assistant Manager Human Resources","Assistant Manager Human Resources","RANDSTAD INDIA PVT LTD","Pune","ERP- MS Data management- MIS- Reports- HR Policies- Recruitment...","2018-04-05",8.0,12.0,0.0,"HR"
"Walkin Interview Tomorrow for the Position of HR Executive","Walkin Interview Tomorrow for the Position of HR Executive","Integrated Personnel Services Pvt Ltd","Navi Mumbai- Thane","human resource- hr executive- hr generalist- hr operations...","2018-04-05",1.0,5.0,100000.0,"HR"
"Manager - HR Business Partner - Manufacturing","Manager - HR Business Partner - Manufacturing","Premium","Visakhapatnam","HR- Recruitment- Talent Management- Succession Planning- Employer Branding-...","2018-04-05",12.0,15.0,0.0,"HR"
"Trainee - HR Operations","Trainee - HR Operations","Incture Technologies Pvt. Ltd.","Bengaluru(Marathahalli)","HR Operations- Attendance Management- Rewards- Onboarding- HR Processes...","2018-04-05",0.0,1.0,300000.0,"HR"
"Hiring for HR","Hiring for HR","TEST YANTRA SOFTWARE SOLUTIONS INDIA PVT LTD","Bengaluru(Basavangudi)","BA- BBA- BCom- MBA- MCom- graduate- MCA- International BPO...","2018-04-05",0.0,1.0,50000.0,"HR"
"HR  Trainee - Bangalore Location","HR  Trainee - Bangalore Location","India Infoline Limited","Bengaluru","HR- Exit Formalities- Onboarding- Mba","2018-04-05",0.0,0.0,0.0,"HR"
"Associate - HR Payroll (male Candidates Only)","Associate - HR Payroll (male Candidates Only)","Cogencis Information Services Ltd","Mumbai(Ghatkopar West)","HR- Gratuity- Payroll- Benefits Administration- Onboarding- Attendance- PF-...","2018-04-05",3.0,5.0,0.0,"HR"
"PAS Psta- TAX Senior- HR Transformation","PAS Psta- TAX Senior- HR Transformation","EYGBS (India) Private Limited","Bengaluru","Hr Transformation- Training- Change Management- Transition- Business Case...","2018-04-05",3.0,5.0,0.0,"HR"
"PAS Psta- Manager- HR Transformation","PAS Psta- Manager- HR Transformation","EYGBS (India) Private Limited","Bengaluru","HR Analytics- Hr Transformation- HR Processes- Hiring...","2018-04-05",7.0,10.0,0.0,"HR"
"Walkin for Travel Process Meet Hr Ashiya","Walkin for Travel Process Meet Hr Ashiya","Sutherland Global Services Private Limited","Mumbai","Travel Process- Amadeus- IATA- Tourism- GDS- Verbal Communication...","2018-04-05",1.0,6.0,125000.0,"HR"
"Project Lead - Scrum Master - Gurgaon HR","Project Lead - Scrum Master - Gurgaon HR","Optum a UnitedHealth Group Company","Gurgaon","Project Lead - Scrum Master - Gurgaon- HR","2018-04-05",8.0,10.0,0.0,"HR"
"Senior Manager Business HR","Senior Manager Business HR","Tech Mahindra Business Services Limited","Mumbai","Business HR- Hiring- Senior Management- Business Services","2018-04-05",8.0,13.0,0.0,"HR"
"Wipro Hiring for CHAT & Email Airlines Process HR Sushmita","Wipro Hiring for CHAT & Email Airlines Process HR Sushmita","Wipro BPS","Mumbai- Mumbai Suburbs","international bpo- travel process- cse- csa- csr- Email Process- Chat...","2018-04-05",0.0,2.0,0.0,"HR"
"Wipro Hiring for CHAT & Email Airlines Process HR Khushboo","Wipro Hiring for CHAT & Email Airlines Process HR Khushboo","Wipro BPS","Mumbai- Mumbai Suburbs","international bpo- travel process- cse- csa- csr- Email Process- Chat...","2018-04-05",0.0,2.0,0.0,"HR"
