link, desig, details, org, loc, exp, keyskills, descl, salary, date, expLow, expHigh, salLow, salHigh 
https://www.naukri.com/job-listings-Marketing-Merchandiser-Fairy-Designs-Inc-Bengaluru-3-to-6-years-030418009552?src=jobsearchDesk&sid=15229205337698&xp=26&px=23,Marketing Merchandiser,Marketing Merchandiser,Fairy Designs Inc,Bengaluru,3-6 yrs,Garment Merchandiser- Buying House Merchandiser, ,300000 - 350000 P.A.,2018-04-03,3,6,300000,350000
https://www.naukri.com/job-listings-Marketing-Executive-Zenith-Precision-Private-Limited-Bengaluru-Jalahalli-3-to-5-years-030418006910?src=jobsearchDesk&sid=15229205337698&xp=27&px=23,Marketing Executive,Marketing Executive,Zenith Precision Private Limited,Bengaluru(Jalahalli),3-5 yrs,Customer Handling- Machining Process- Project Planning- Risk Assessment, ,Not disclosed,2018-04-03,3,5,0,0
https://www.naukri.com/job-listings-Marketing-Executives-Manipur-Mahatma-Gandhi-University-Manipur-1-to-1-years-030418901297?src=jobsearchDesk&sid=15229205337698&xp=28&px=23,Marketing Executives (Manipur),Marketing Executives (Manipur),Mahatma Gandhi University,Manipur,,, ,Not disclosed,2018-04-03,,,0,0
https://www.naukri.com/job-listings-Marketing-Executives-Arunachal-Pradesh-Mahatma-Gandhi-University-Arunachalpradesh-1-to-1-years-030418901294?src=jobsearchDesk&sid=15229205337698&xp=29&px=23,Marketing Executives (Arunachal Pradesh),Marketing Executives (Arunachal Pradesh),Mahatma Gandhi University,Arunachalpradesh,,, ,Not disclosed,2018-04-03,,,0,0
https://www.naukri.com/job-listings-Marketing-Executive-Sales-Executive-Rajasthan-Sagarika-House-Jaipur-Jodhpur-Udaipur-0-to-5-years-231117003107?src=jobsearchDesk&sid=15229205337698&xp=30&px=23,Marketing Executive / Sales Executive - Rajasthan,Marketing Executive / Sales Executive - Rajasthan,Sagarika House,Jaipur- Jodhpur- Udaipur,0-5 yrs,Marketing- Sales- Marketing executive- Sales executive- Trainee..., ,125000 - 625000 P.A.,2018-04-04,0,5,125000,625000
https://www.naukri.com/job-listings-Marketing-Executive-For-Education-Sector-Right-Training-and-Placement-Solutions-Kolkata-Lake-Town-3-1-to-6-years-091017000683?src=jobsearchDesk&sid=15229205337698&xp=31&px=23,Marketing Executive For Education Sector,Marketing Executive For Education Sector,Right Training and Placement Solutions,Kolkata(Lake Town+3),1-6 yrs,Marketing- Sales- business development- bde- client servicing..., ,225000 - 275000 P.A. Ta+da+mobile+huge Incentives,2018-04-04,1,6,225000,275000
https://www.naukri.com/job-listings-Marketing-Executive-Krishna-Institute-of-Medical-Sciences-Ltd-Hyderabad-Kondapur-1-to-4-years-310318004415?src=jobsearchDesk&sid=15229205337698&xp=32&px=23,Marketing Executive,Marketing Executive,Krishna Institute of Medical Sciences Ltd.,Hyderabad(Kondapur),1-4 yrs,Marketing Executive- sales executive, ,150000 - 200000 P.A. Coveyance Allowance,2018-03-31,1,4,150000,200000
https://www.naukri.com/job-listings-Manager-Merchandising-operations-marketing-e-commerce-LITTLE-TAGS-E-COMMERCE-Delhi-NCR-Vasant-Kunj-5-to-10-years-310318004315?src=jobsearchDesk&sid=15229205337698&xp=33&px=23,Manager- Merchandising/operations/marketing (e-commerce),Manager- Merchandising/operations/marketing (e-commerce),LITTLE TAGS E-COMMERCE,Delhi NCR(Vasant Kunj),5-10 yrs,Marketing- Merchandising- E - commerce- Product Development, ,500000 - 1000000 P.A. Salary no bar for right candi...,2018-04-01,5,10,500000,1000000
https://www.naukri.com/job-listings-Urgent-Opening-for-Tele-Marketing-Executive-secunderabad-Dealmoney-Securities-Pvt-Ltd-Hyderabad-1-to-6-years-310318004206?src=jobsearchDesk&sid=15229205337698&xp=34&px=23,Urgent Opening for Tele Marketing Executive-secunderabad,Urgent Opening for Tele Marketing Executive-secunderabad,Dealmoney Securities Pvt Ltd,Hyderabad,1-6 yrs,Sales- Telesales- Team Leading- teams leader- lead team, ,Not disclosed,2018-03-31,1,6,0,0
https://www.naukri.com/job-listings-Regional-Marketing-Manager-Mumbai-SRL-Limited-Mumbai-Mumbai-Suburbs-8-to-13-years-310318004128?src=jobsearchDesk&sid=15229205337698&xp=35&px=23,Regional Marketing Manager - Mumbai,Regional Marketing Manager - Mumbai,SRL Limited,Mumbai- Mumbai Suburbs,8-13 yrs,Retail Sales- Marketing Management- Promotions- Btl- Events...,ob Description As RMM- an individual has to take care of BTL activities plan and execution ...,900000 - 1400000 P.A.,2018-03-31,8,13,900000,1400000
